word,syllables,actual_count,cmu_counts,category,phonetic,decision,reviewed_syllables,reason
aboveboard,above-board,2,3,other,/əˈbʌvˌbɔɹd/,needs_human_source,above-board,no high-confidence automatic boundary rule
absenteeism,a-bsen-tee-ism,4,5,suffix_ism,/ˌæbsənˈtiːɪzəm/,needs_human_source,a-bsen-tee-ism,-ism boundary needs dictionary-specific policy
academically,a-ca-dem-i-cal-ly,6,5,adverb_ically_ally,/ˌækəˈdɛmɪkli/,accepted_standard_difference,a-ca-dem-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
accompaniment,ac-com-pa-ni-ment,5,4,other,/əˈkʌmpənɪmənt/,accepted_standard_difference,ac-com-pa-ni-ment,orthographic spelling split has more parts than CMU pronunciation
acoustically,a-cous-ti-cal-ly,5,4,adverb_ically_ally,/əˈkuːstɪkli/,accepted_standard_difference,a-cous-ti-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
activism,ac-ti-vism,3,4,suffix_ism,/ˈæktɪˌvɪzəm/,needs_human_source,ac-ti-vism,-ism boundary needs dictionary-specific policy
actuary,ac-tu-ary,3,4,other,/ˈæktʃuˈɛˌɹiː/,needs_human_source,ac-tu-ary,no high-confidence automatic boundary rule
adrian,adri-an,2,3,vowel_sequence_suffix,/ˈeɪdɹiən/,needs_human_source,adri-an,no high-confidence automatic boundary rule
aerial,aeri-al,2,3,other,/ˈɛɹiəl/,needs_human_source,aeri-al,no high-confidence automatic boundary rule
aesthetically,aes-thet-i-cal-ly,5,4,adverb_ically_ally,/ɛsˈθɛtɪkli/,accepted_standard_difference,aes-thet-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
aforesaid,afore-said,2,3,other,/əˈfɔɹˌsɛd/,needs_human_source,afore-said,no high-confidence automatic boundary rule
albeit,al-beit,2,3,other,/ɔlˈbiːɪt/,needs_human_source,al-beit,no high-confidence automatic boundary rule
albuquerque,al-bu-querque,3,4,other,/ˈælbəkɚki/,needs_human_source,al-bu-querque,no high-confidence automatic boundary rule
alcoholism,al-co-ho-lism,4,5,suffix_ism,/ˈælkəˌhɔˌlɪzəm/,needs_human_source,al-co-ho-lism,-ism boundary needs dictionary-specific policy
algorithm,al-go-rithm,3,4,other,/ˈælɡɚˌɪðəm/,needs_human_source,al-go-rithm,no high-confidence automatic boundary rule
algorithms,al-go-rithms,3,4,other,/ˈælɡɚˌɪðəmz/,needs_human_source,al-go-rithms,no high-confidence automatic boundary rule
alphabetically,al-pha-bet-i-cal-ly,6,5,adverb_ically_ally,/ˌælfəˈbɛtɪkli/,accepted_standard_difference,al-pha-bet-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
altruism,al-tru-ism,3,4,suffix_ism,/ˈæltɹuˌɪzəm/,needs_human_source,al-tru-ism,-ism boundary needs dictionary-specific policy
americanism,a-me-ri-ca-nism,5,6,suffix_ism,/əˈmɛɹɪkəˌnɪzəm/,needs_human_source,a-me-ri-ca-nism,-ism boundary needs dictionary-specific policy
amphibian,am-phib-ian,3,4,vowel_sequence_suffix,/æmˈfɪbiən/,needs_human_source,am-phib-ian,no high-confidence automatic boundary rule
amphitheater,amp-hit-hea-ter,4,5,other,/ˈæmfəθiˈeɪtɚ/,needs_human_source,amp-hit-hea-ter,no high-confidence automatic boundary rule
anachronism,a-nac-hro-nism,4,5,suffix_ism,/əˈnækɹəˌnɪzəm/,needs_human_source,a-nac-hro-nism,-ism boundary needs dictionary-specific policy
analogue,ana-logue,2,3,other,/ˈænəˌlɔɡ/,needs_human_source,ana-logue,no high-confidence automatic boundary rule
annuity,an-nu-ity,3,4,suffix_ity_ety,/ɐnjˈuːtɪ/,needs_human_source,an-nu-ity,no high-confidence automatic boundary rule
antagonism,an-tag-o-nism,4,5,suffix_ism,/ænˈtæɡəˌnɪzəm/,needs_human_source,an-tag-o-nism,-ism boundary needs dictionary-specific policy
antemeridian,an-te-merid-i-an,5,6,vowel_sequence_suffix,/ˌæntəmɛˈɹɪdiən/,needs_human_source,an-te-merid-i-an,no high-confidence automatic boundary rule
anthropomorphism,an-thro-po-mor-phism,5,6,suffix_ism,/ˌænθɹəpəˈmɔɹfɪzəm/,needs_human_source,an-thro-po-mor-phism,-ism boundary needs dictionary-specific policy
antibiotic,an-tibi-ot-ic,4,5,other,/ˌæntɪbaɪˈɒtɪk/,needs_human_source,an-tibi-ot-ic,no high-confidence automatic boundary rule
anxiety,anx-i-ety,3,4,suffix_ity_ety,/æŋˈzaɪəti/,needs_human_source,anx-i-ety,no high-confidence automatic boundary rule
aphorism,ap-ho-rism,3,4,suffix_ism,/ˈæfɚˌɪzəm/,needs_human_source,ap-ho-rism,-ism boundary needs dictionary-specific policy
apotheosis,apoth-e-o-sis,4,5,other,/əˌpɑθiˈoʊsəs/,needs_human_source,apoth-e-o-sis,no high-confidence automatic boundary rule
appliances,ap-pli-ances,3,4,other,/ɐplˈaɪənsɪz/,needs_human_source,ap-pli-ances,no high-confidence automatic boundary rule
aqueous,aque-ous,2,3,vowel_sequence_suffix,/ˈeɪkwiəs/,needs_human_source,aque-ous,no high-confidence automatic boundary rule
arabian,ara-bi-an,3,4,vowel_sequence_suffix,/əˈɹeɪbiən/,needs_human_source,ara-bi-an,no high-confidence automatic boundary rule
archeology,arche-ol-o-gy,4,5,other,/ˌɑɹkiˈɑlədʒi/,needs_human_source,arche-ol-o-gy,no high-confidence automatic boundary rule
archetypal,ar-che-typ-al,4,3,other,/ˈɑɹkˈtaɪpəl/,accepted_standard_difference,ar-che-typ-al,orthographic spelling split has more parts than CMU pronunciation
archived,archived,1,2,other,/ˈɑɹˌkaɪvd/,needs_human_source,archived,no high-confidence automatic boundary rule
areas,ar-eas,2,3,other,/ˈɛɹiəz/,needs_human_source,ar-eas,no high-confidence automatic boundary rule
argue,argue,1,2,other,/ˈɑɹɡju/,needs_human_source,argue,no high-confidence automatic boundary rule
arthurian,art-hu-rian,3,4,vowel_sequence_suffix,/ɑɹˈθʊɹiən/,needs_human_source,art-hu-rian,no high-confidence automatic boundary rule
artistically,ar-tis-ti-cal-ly,5,4,adverb_ically_ally,/ɑɹˈtɪstɪkli/,accepted_standard_difference,ar-tis-ti-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
ashamed,ashamed,1,2,other,/əˈʃeɪmd/,needs_human_source,ashamed,no high-confidence automatic boundary rule
assiduous,as-sid-u-ous,4,3,vowel_sequence_suffix,/əˈsɪdwəs/,accepted_standard_difference,as-sid-u-ous,orthographic spelling split has more parts than CMU pronunciation
assiduously,as-sid-u-ous-ly,5,4,other,/əˈsɪdwəsli/,accepted_standard_difference,as-sid-u-ous-ly,orthographic spelling split has more parts than CMU pronunciation
astigmatism,as-ti-gma-tism,4,5,suffix_ism,/əˈstɪɡməˌtɪzəm/,needs_human_source,as-ti-gma-tism,-ism boundary needs dictionary-specific policy
atavism,a-ta-vism,3,4,suffix_ism,/ˈætəvɪzəm/,needs_human_source,a-ta-vism,-ism boundary needs dictionary-specific policy
atheism,athe-ism,2,3/4,suffix_ism,/ˈeɪθɪˌɪzəm/,needs_human_source,athe-ism,-ism boundary needs dictionary-specific policy
atheist,athe-ist,2,3,other,/ˈeɪθiəst/,needs_human_source,athe-ist,no high-confidence automatic boundary rule
atheistic,athe-is-tic,3,4,other,/ˌeɪθiˈɪstɪk/,needs_human_source,athe-is-tic,no high-confidence automatic boundary rule
athleticism,at-hle-ti-cism,4,5,suffix_ism,/æθˈlɛtɪˌsɪzəm/,needs_human_source,at-hle-ti-cism,-ism boundary needs dictionary-specific policy
attributes,at-tributes,2,3,other,/ˈatɹɪbjˌuːts/,needs_human_source,at-tributes,no high-confidence automatic boundary rule
aug,aug,1,2,other,/ˈɔɡəst/,needs_human_source,aug,no high-confidence automatic boundary rule
automatically,au-to-mat-i-cal-ly,6,5,adverb_ically_ally,/ˌɒːtəˈmætɪklɪ/,accepted_standard_difference,au-to-mat-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
aviator,avi-a-tor,3,4,other,/ˈeɪviˌeɪtɚ/,needs_human_source,avi-a-tor,no high-confidence automatic boundary rule
awareness,aware-ness,2,3,other,/əˈwɛɹnəs/,needs_human_source,aware-ness,no high-confidence automatic boundary rule
awhile,awhile,1,2,other,/əˈwaɪl/,needs_human_source,awhile,no high-confidence automatic boundary rule
axiom,ax-iom,2,3,other,/ˈæksiəm/,needs_human_source,ax-iom,no high-confidence automatic boundary rule
babylonian,baby-lo-ni-an,4,5,vowel_sequence_suffix,/ˌbæbəˈloʊniən/,needs_human_source,baby-lo-ni-an,no high-confidence automatic boundary rule
bacterium,bac-teri-um,3,4,vowel_sequence_suffix,/bækˈtɪɹiəm/,needs_human_source,bac-teri-um,no high-confidence automatic boundary rule
baroque,baroque,1,2,other,/bɚˈoʊk/,needs_human_source,baroque,no high-confidence automatic boundary rule
basically,ba-si-cal-ly,4,3,adverb_ically_ally,/ˈbeɪsɪkli/,accepted_standard_difference,ba-si-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
